dataset,band,row_index,subject,condition,y,model,score
Chennu,alpha,38,9,baseline,0,spectral_all,0.2012226088319687
Chennu,alpha,39,9,moderate,1,spectral_all,0.9999978864957506
Chennu,alpha,0,10,baseline,0,gcc_pi,0.32663419951213407
Chennu,alpha,1,10,moderate,1,gcc_pi,0.9618157368685757
Chennu,alpha,2,13,baseline,0,gcc_pi,0.32477493338905666
Chennu,alpha,3,13,moderate,1,gcc_pi,0.760935344082989
Chennu,alpha,4,14,baseline,0,gcc_pi,0.3245150801329625
Chennu,alpha,5,14,moderate,1,gcc_pi,0.7514247054934122
Chennu,alpha,6,18,baseline,0,gcc_pi,0.3254642417577854
Chennu,alpha,7,18,moderate,1,gcc_pi,0.7880706103798383
Chennu,alpha,8,2,baseline,0,gcc_pi,0.3004498712888782
Chennu,alpha,9,2,moderate,1,gcc_pi,0.2674286525859836
Chennu,alpha,10,20,baseline,0,gcc_pi,0.31637037725983
Chennu,alpha,11,20,moderate,1,gcc_pi,0.5340011170325615
Chennu,alpha,12,22,baseline,0,gcc_pi,0.2968609187421262
Chennu,alpha,13,22,moderate,1,gcc_pi,0.22277097361639034
Chennu,alpha,14,23,baseline,0,gcc_pi,0.32224435057427464
Chennu,alpha,15,23,moderate,1,gcc_pi,0.6787151043773991
Chennu,alpha,16,24,baseline,0,gcc_pi,0.327151852386253
Chennu,alpha,17,24,moderate,1,gcc_pi,0.886598041555924
Chennu,alpha,18,25,baseline,0,gcc_pi,0.31962864131043844
Chennu,alpha,19,25,moderate,1,gcc_pi,0.6089033183252343
Chennu,alpha,20,26,baseline,0,gcc_pi,0.3186141007997814
Chennu,alpha,21,26,moderate,1,gcc_pi,0.5844002218323678
Chennu,alpha,22,27,baseline,0,gcc_pi,0.3247862152741672
Chennu,alpha,23,27,moderate,1,gcc_pi,0.9863927908687752
Chennu,alpha,24,28,baseline,0,gcc_pi,0.3087963927808882
Chennu,alpha,25,28,moderate,1,gcc_pi,0.3911731285789166
Chennu,alpha,26,29,baseline,0,gcc_pi,0.29503675724059675
Chennu,alpha,27,29,moderate,1,gcc_pi,0.20187964706837427
Chennu,alpha,28,3,baseline,0,gcc_pi,0.32267454485302416
Chennu,alpha,29,3,moderate,1,gcc_pi,0.9945909604926892
Chennu,alpha,30,5,baseline,0,gcc_pi,0.3234305475815891
Chennu,alpha,31,5,moderate,1,gcc_pi,0.9925930878586838
Chennu,alpha,32,6,baseline,0,gcc_pi,0.3272792115001334
Chennu,alpha,33,6,moderate,1,gcc_pi,0.9156071410375964
Chennu,alpha,34,7,baseline,0,gcc_pi,0.2840440091321127
Chennu,alpha,35,7,moderate,1,gcc_pi,0.10061709691355981
Chennu,alpha,36,8,baseline,0,gcc_pi,0.3271932757839274
Chennu,alpha,37,8,moderate,1,gcc_pi,0.8919372327574323
Chennu,alpha,38,9,baseline,0,gcc_pi,0.3269685092168162
Chennu,alpha,39,9,moderate,1,gcc_pi,0.9498835298417205
Chennu,alpha,0,10,baseline,0,gcc_triad_plus_pi,0.28091675252228143
Chennu,alpha,1,10,moderate,1,gcc_triad_plus_pi,0.9888625644790557
Chennu,alpha,2,13,baseline,0,gcc_triad_plus_pi,0.2810736471122467
