subject,level,filename,R_mean,D_mean,M_mean,Pi
02,baseline,02-2010-anest 20100210 135.003.set,0.1332063529759229,2.598780237407503,0.0029106043219974476,0.6486564102564103
02,mild,02-2010-anest 20100210 135.006.set,0.14136694219788884,2.4956092156825003,0.0031293907544971155,0.6377619047619048
02,moderate,02-2010-anest 20100210 135.014.set,0.1428592896885385,2.7222284868787274,0.0033542509204962374,0.6309371428571429
02,recovery,02-2010-anest- 20100210 16.003.set,0.14189385996937956,2.4460891087192875,0.0030369540387587836,0.6129
03,baseline,03-2010-anest 20100211 142.003.set,0.14588530234909278,2.6810150688913716,0.0027745295312659375,0.653
03,mild,03-2010-anest 20100211 142.008.set,0.1335970734807365,2.9488035709825904,0.002336205728887175,0.6019515151515151
03,moderate,03-2010-anest 20100211 142.021.set,0.09141959285638884,3.091167789640308,0.0019461352328858333,0.5703096774193548
03,recovery,03-2010-anest 20100211 142.026.set,0.14160033790031398,2.886290508263557,0.002392789762961684,0.6430888888888889
05,baseline,05-2010-anest 20100223 095.004.set,0.1540890024011721,2.621154439528824,0.0031991544007761307,0.65888
05,mild,05-2010-anest 20100223 095.009.set,0.12391649451557085,2.9114184746739955,0.002837855010698621,0.62005
05,moderate,05-2010-anest 20100223 095.022.set,0.10220575032586811,3.197488086591581,0.0023652120037720298,0.47746666666666665
05,recovery,05-2010-anest 20100223 095.027.set,0.13479298968051068,2.6049793541246418,0.0027787545012272316,0.6845170731707317
06,baseline,06-2010-anest 20100224 093.003.set,0.1293711646676662,2.3928999662412913,0.0024370388395178115,0.6521333333333333
06,mild,06-2010-anest 20100224 093.008.set,0.09718845887477591,2.9250624081098957,0.0021358662688629004,0.47385
06,moderate,06-2010-anest 20100224 093.013.set,0.11061040493441134,2.718285855585677,0.002283287739476202,0.6018952380952381
06,recovery,06-2010-anest 20100224 093.026.set,0.12276476148119618,2.5696308259778275,0.00248692180305864,0.61338
07,baseline,07-2010-anest 20100226 133.003.set,0.09139196089922418,3.116419213379654,0.0018717020653328178,0.6571851851851852
