subject,run,phase,n_windows,Pi_fMRI,R_phase_mean,D_eff_mean,M_tau_mean,mean_fc,mean_abs_fc,fd_mean,fd_max,baseline_R_lower,baseline_R_upper,baseline_D_lower,baseline_D_upper,baseline_M_lower,baseline_M_upper
sub-02,1,Base1,57,0.7894736842105263,0.1892497925817219,0.04814394957569411,0.07869347189835237,0.05489033842841327,0.2964040504940376,0.1320363219267367,0.3902427999999998,0.11168045115163736,0.39755245224014846,0.034978996254395524,0.0546483206409268,0.042182724890121905,0.1513494671783654
sub-02,2,PreLOR,58,0.5862068965517241,0.17301887734982863,0.046230107559898044,0.0916763599967697,0.04973456515916862,0.30331688395454276,0.1291851568430804,0.344643765000005,0.11168045115163736,0.39755245224014846,0.034978996254395524,0.0546483206409268,0.042182724890121905,0.1513494671783654
sub-02,2,LOR_task2,55,0.2909090909090909,0.10384706062094076,0.04192028073578285,0.04941397050384986,0.008489302105325676,0.3193966518818789,0.1516381549799999,1.1527806,0.11168045115163736,0.39755245224014846,0.034978996254395524,0.0546483206409268,0.042182724890121905,0.1513494671783654
sub-02,3,LOR_task3,32,0.59375,0.14715280118411705,0.040725821175255195,0.06543098510407948,0.024385083112147758,0.32474588006689054,0.14062808190054554,8.1273745,0.11168045115163736,0.39755245224014846,0.034978996254395524,0.0546483206409268,0.042182724890121905,0.1513494671783654
sub-02,3,ROR,81,0.654320987654321,0.14829119272772479,0.04575323300061617,0.06109557835232202,0.02681814794813531,0.3053967055408902,0.1531590421816129,1.583645500000005,0.11168045115163736,0.39755245224014846,0.034978996254395524,0.0546483206409268,0.042182724890121905,0.1513494671783654
sub-02,4,Base2,57,0.6666666666666666,0.13616625071839145,0.046948105646017396,0.06712982249203336,0.0225533542911042,0.3004403738162556,0.1356802651084255,0.4182816199999999,0.11168045115163736,0.39755245224014846,0.034978996254395524,0.0546483206409268,0.042182724890121905,0.1513494671783654
sub-03,1,Base1,57,0.7719298245614035,0.12008197533516313,0.053717738482683776,0.05700514968227137,0.01652003261259637,0.2783010956481448,0.1813886095255941,0.538384000000005,0.08345751757863606,0.17342439902154502,0.04960960137782474,0.05756784466644259,0.03520913140162839,0.09331614971338092
sub-03,2,PreLOR,69,0.13043478260869565,0.20151744603924954,0.04694463107411125,0.08092318747466144,0.059370570224310325,0.30303855854824435,0.18876523888363633,0.6415480099999998,0.08345751757863606,0.17342439902154502,0.04960960137782474,0.05756784466644259,0.03520913140162839,0.09331614971338092
sub-03,2,LOR_task2,43,0.023255813953488372,0.12637114393454849,0.043515750727400306,0.060461962848661815,0.016481769907654004,0.3121442379161551,0.22836595613959668,2.2005718,0.08345751757863606,0.17342439902154502,0.04960960137782474,0.05756784466644259,0.03520913140162839,0.09331614971338092
sub-03,3,LOR_task3,18,0.0,0.2930735419677519,0.04103627594106882,0.12582721667489005,0.1259586543920209,0.3221999337272387,0.1406174888347258,0.43044804,0.08345751757863606,0.17342439902154502,0.04960960137782474,0.05756784466644259,0.03520913140162839,0.09331614971338092
sub-03,3,ROR,94,0.02127659574468085,0.26542062818614903,0.04731856773431564,0.0991449726253358,0.09385804379017139,0.29965494827273603,0.3017195355723689,1.344411000000005,0.08345751757863606,0.17342439902154502,0.04960960137782474,0.05756784466644259,0.03520913140162839,0.09331614971338092
sub-03,4,Base2,57,0.5087719298245614,0.10658942669307554,0.05203655935233738,0.049757106869851304,0.00879584176815659,0.2824382749080461,0.22111003083111103,0.8952645,0.08345751757863606,0.17342439902154502,0.04960960137782474,0.05756784466644259,0.03520913140162839,0.09331614971338092
sub-04,1,Base1,57,0.7368421052631579,0.20151991882107856,0.047345133822867064,0.09249344967656674,0.05453275142019942,0.2984008045713917,0.102278663630855,0.360465099999995,0.13407002800188877,0.29240935050604316,0.04202249389701318,0.05302833655688406,0.05741000415079195,0.13513729232895733
sub-04,2,PreLOR,79,0.5189873417721519,0.18923381121684613,0.04347078416616567,0.08651615915482438,0.0482136310245826,0.31449986086310067,0.1013084616990497,0.33075916,0.13407002800188877,0.29240935050604316,0.04202249389701318,0.05302833655688406,0.05741000415079195,0.13513729232895733
sub-04,2,LOR_task2,33,0.42424242424242425,0.1503998398208247,0.04437482261327874,0.06692646571108239,0.026251557272554175,0.30949579346361183,0.17841233659713157,1.4541236,0.13407002800188877,0.29240935050604316,0.04202249389701318,0.05302833655688406,0.05741000415079195,0.13513729232895733
sub-04,3,LOR_task3,46,0.021739130434782608,0.10545308735966127,0.04474428838134364,0.04695745967900971,0.009606261880686773,0.3086021499188011,0.23083328696463737,3.105033539999995,0.13407002800188877,0.29240935050604316,0.04202249389701318,0.05302833655688406,0.05741000415079195,0.13513729232895733
sub-04,3,ROR,67,0.0,0.0964239465396624,0.05083616353057582,0.04193207233457792,0.006132962800352787,0.2874469770242177,0.10202739698577108,0.2766349309999996,0.13407002800188877,0.29240935050604316,0.04202249389701318,0.05302833655688406,0.05741000415079195,0.13513729232895733
sub-04,4,Base2,57,0.21052631578947367,0.1472898954344647,0.05325664902251078,0.07193544294539211,0.029257108114963824,0.27957067191593227,0.10485235378843268,0.3229526,0.13407002800188877,0.29240935050604316,0.04202249389701318,0.05302833655688406,0.05741000415079195,0.13513729232895733
sub-05,1,Base1,57,0.7543859649122807,0.148333396437737,0.04676566930338843,0.07601209549167265,0.02709934997481768,0.3007268995066259,0.13543600970119507,0.993534069,0.11260343990658842,0.2143666904235192,0.03972144747226901,0.05424270593596685,0.04468454369459602,0.12913416968049207
sub-05,2,PreLOR,50,0.26,0.21524669116248113,0.04250263710252732,0.0967437163321819,0.06772475065942773,0.3182615708484783,0.13847733848332522,1.2642303150000005,0.11260343990658842,0.2143666904235192,0.03972144747226901,0.05424270593596685,0.04468454369459602,0.12913416968049207
sub-05,2,LOR_task2,52,0.36538461538461536,0.20139994347166693,0.03943477563695708,0.0842895340851881,0.057161560974184455,0.3322088209113465,0.2676901787033332,4.35725725,0.11260343990658842,0.2143666904235192,0.03972144747226901,0.05424270593596685,0.04468454369459602,0.12913416968049207
sub-05,3,LOR_task3,32,0.375,0.21706997874852335,0.04528129184266945,0.09688420703638667,0.06276541803930122,0.3063791063152732,0.4034613256911662,1.5352711000000003,0.11260343990658842,0.2143666904235192,0.03972144747226901,0.05424270593596685,0.04468454369459602,0.12913416968049207
sub-05,3,ROR,81,0.43209876543209874,0.2016679923887369,0.043120829209638334,0.08772212334230653,0.0532870166762754,0.3156073188108766,0.1852959025341563,1.89039165,0.11260343990658842,0.2143666904235192,0.03972144747226901,0.05424270593596685,0.04468454369459602,0.12913416968049207
sub-05,4,Base2,57,0.49122807017543857,0.15415600673399305,0.04455822716908871,0.06690310417606173,0.027102828685445203,0.31031613170229877,0.141048839125777,0.7818308500000001,0.11260343990658842,0.2143666904235192,0.03972144747226901,0.05424270593596685,0.04468454369459602,0.12913416968049207
sub-06,1,Base1,57,0.7894736842105263,0.24828606514575713,0.047153912049070844,0.10969149705243258,0.08886874225679615,0.29891825107865855,0.16522787069196726,1.7452915999999998,0.15801812261253048,0.39154536701574105,0.03858218236598362,0.05326709188028331,0.06878539081367172,0.18356034146077208
sub-06,2,PreLOR,44,0.6363636363636364,0.3086559196216039,0.040421968601614615,0.1324112522414465,0.1386125588835208,0.328214368490444,0.3056306847051514,3.21888725,0.15801812261253048,0.39154536701574105,0.03858218236598362,0.05326709188028331,0.06878539081367172,0.18356034146077208
sub-06,2,LOR_task2,69,0.36231884057971014,0.199977438827569,0.048380515049992426,0.08456755270270642,0.05175127875752438,0.2974979762635744,0.29795601384541065,2.4296985,0.15801812261253048,0.39154536701574105,0.03858218236598362,0.05326709188028331,0.06878539081367172,0.18356034146077208
sub-06,3,LOR_task3,46,0.6521739130434783,0.212450122602136,0.044879700726329935,0.09551087436971191,0.06443674073977726,0.308693617754893,0.18736816624115923,2.37398875,0.15801812261253048,0.39154536701574105,0.03858218236598362,0.05326709188028331,0.06878539081367172,0.18356034146077208
sub-06,3,ROR,52,0.11538461538461539,0.12429198889022659,0.04121998980511777,0.06046241430292699,0.01735965971352109,0.3243778700195363,0.4464211133817947,5.2226665500000005,0.15801812261253048,0.39154536701574105,0.03858218236598362,0.05326709188028331,0.06878539081367172,0.18356034146077208
sub-06,4,Base2,57,0.7017543859649122,0.30941068977404007,0.04237987694720054,0.13014838633475498,0.13269185647497211,0.3183489031700336,0.2533702009161872,2.6829829000000003,0.15801812261253048,0.39154536701574105,0.03858218236598362,0.05326709188028331,0.06878539081367172,0.18356034146077208
sub-07,1,Base1,57,0.7368421052631579,0.2511488391580782,0.04591573677483604,0.11201806422072505,0.08725407409503168,0.3029804873630253,0.13896342242166076,1.62023965,0.18310181516106638,0.33836495672291467,0.04094560921305222,0.05059044117833497,0.07990033162083335,0.14709546058502207
sub-07,2,PreLOR,69,0.30434782608695654,0.21910056223350333,0.0449089107556571,0.09275021061808923,0.07691143829940483,0.3142284474353737,0.1944343945222415,2.9847037499999995,0.18310181516106638,0.33836495672291467,0.04094560921305222,0.05059044117833497,0.07990033162083335,0.14709546058502207
sub-07,2,LOR_task2,43,0.046511627906976744,0.1495674418327603,0.039655147676749325,0.06845526319288314,0.025522035846163513,0.33268755692039864,0.1206162611627907,1.0036418799999998,0.18310181516106638,0.33836495672291467,0.04094560921305222,0.05059044117833497,0.07990033162083335,0.14709546058502207
sub-07,3,LOR_task3,68,0.10294117647058823,0.16880704468892546,0.04276274150319087,0.07359199340574915,0.0358432786283318,0.31739649295814604,0.18240177764367432,14.858304900000002,0.18310181516106638,0.33836495672291467,0.04094560921305222,0.05059044117833497,0.07990033162083335,0.14709546058502207
