subject,band,n_channels,R_min,D_min,D_max,M_min,M_max
2,alpha,91,0.21549321794450976,2.0816201029987815,3.3046726993033846,0.002519850482653568,0.00714290624142405
3,alpha,91,0.2169132619818743,1.662754824169551,3.5750274634444774,0.002088195762782952,0.007628486792258414
5,alpha,91,0.19894992629208122,1.7446198592362174,3.040926652865877,0.003203643835686679,0.009540076364652364
6,alpha,91,0.22152632431581606,1.82552060146697,2.9273395841176333,0.003857455135688002,0.008296903310507996
7,alpha,91,0.18522903853668413,2.509323424468934,4.689188826932423,0.0014789947585878184,0.00417380373440417
8,alpha,91,0.1961637879846656,2.2606924180715082,5.00319179982666,0.0014300706933055053,0.004892220078569071
9,alpha,91,0.27505133498725476,1.7024418261572083,2.8627998009908926,0.0022688399952620016,0.008195408781269802
10,alpha,91,0.18041906683691825,2.7921770858588038,4.412395764786613,0.0013611934893899742,0.004262204794779941
13,alpha,91,0.21952750228918333,2.3039219533055193,3.0052783608870848,0.0035737663183998997,0.008755174708666744
14,alpha,91,0.1839545312046743,2.5076813164434104,4.287461971304001,0.001882449873635043,0.0061498413658726365
18,alpha,91,0.2839366848445324,1.9392465369231313,2.9594425873002708,0.002518586812699228,0.00866936334880737
20,alpha,91,0.1971676751788901,2.7451365797187215,5.064847252491773,0.0012241747771869428,0.003307264733803985
22,alpha,91,0.18635899125891695,2.578130432364494,3.920237370597788,0.0021036280105308854,0.004227944766726435
23,alpha,91,0.24250277991051752,1.9009429903427535,2.7733848282665234,0.003273509195832687,0.007845979160300467
24,alpha,91,0.20022358669147652,2.2905928344164947,3.3292903071215787,0.003027537701415399,0.00815758534121008
25,alpha,91,0.2229936607708731,2.798722307011924,4.711407798593881,0.001256285019665052,0.0032127921289201965
26,alpha,91,0.18434087547676978,1.8470512318346133,2.9312064990215805,0.003516941973330056,0.008736249507043523
27,alpha,91,0.20839376668999593,1.8527882069054833,2.8956944849615467,0.0036248402185655735,0.008513223895982252
28,alpha,91,0.20917764023596785,2.0046336021851956,3.31141595663798,0.0024483469894721597,0.007616042157004534
29,alpha,91,0.21752409758610197,2.7140936389165,3.844852113363216,0.0016684523721880774,0.004676546586138403
