dataset,band,row_index,subject,condition,y,model,score
Chennu,alpha,38,29,baseline,0,spectral_all,0.2178242495723783
Chennu,alpha,39,29,moderate,1,spectral_all,0.9360486954942906
Chennu,alpha,0,2,baseline,0,gcc_pi,0.39713154850890364
Chennu,alpha,1,2,moderate,1,gcc_pi,0.4443239944639926
Chennu,alpha,2,3,baseline,0,gcc_pi,0.40528004432267156
Chennu,alpha,3,3,moderate,1,gcc_pi,0.616706769625134
Chennu,alpha,4,5,baseline,0,gcc_pi,0.4114791402836782
Chennu,alpha,5,5,moderate,1,gcc_pi,0.8208365378999792
Chennu,alpha,6,6,baseline,0,gcc_pi,0.401681799610543
Chennu,alpha,7,6,moderate,1,gcc_pi,0.5333970790351661
Chennu,alpha,8,7,baseline,0,gcc_pi,0.4099462435092645
Chennu,alpha,9,7,moderate,1,gcc_pi,0.7536634024213559
Chennu,alpha,10,8,baseline,0,gcc_pi,0.39634607019037216
Chennu,alpha,11,8,moderate,1,gcc_pi,0.43011798372554083
Chennu,alpha,12,9,baseline,0,gcc_pi,0.4071007154630125
Chennu,alpha,13,9,moderate,1,gcc_pi,0.9953123436941818
Chennu,alpha,14,10,baseline,0,gcc_pi,0.3696508103407408
Chennu,alpha,15,10,moderate,1,gcc_pi,0.09488256001788274
Chennu,alpha,16,13,baseline,0,gcc_pi,0.4022762495038012
Chennu,alpha,17,13,moderate,1,gcc_pi,0.5464886506446465
Chennu,alpha,18,14,baseline,0,gcc_pi,0.3823744403163988
Chennu,alpha,19,14,moderate,1,gcc_pi,0.22235889575931458
Chennu,alpha,20,18,baseline,0,gcc_pi,0.41173698610952075
Chennu,alpha,21,18,moderate,1,gcc_pi,0.9548022234850506
Chennu,alpha,22,20,baseline,0,gcc_pi,0.3984877759165354
Chennu,alpha,23,20,moderate,1,gcc_pi,0.46973301095325953
Chennu,alpha,24,22,baseline,0,gcc_pi,0.3947373003606403
Chennu,alpha,25,22,moderate,1,gcc_pi,0.4020728312436205
Chennu,alpha,26,23,baseline,0,gcc_pi,0.4123477758687331
Chennu,alpha,27,23,moderate,1,gcc_pi,0.9078555899543298
Chennu,alpha,28,24,baseline,0,gcc_pi,0.41234507898492434
Chennu,alpha,29,24,moderate,1,gcc_pi,0.9000441754991866
Chennu,alpha,30,25,baseline,0,gcc_pi,0.40586875710437914
Chennu,alpha,31,25,moderate,1,gcc_pi,0.6315406875364862
Chennu,alpha,32,26,baseline,0,gcc_pi,0.3950439435992241
Chennu,alpha,33,26,moderate,1,gcc_pi,0.4073168504265375
Chennu,alpha,34,27,baseline,0,gcc_pi,0.41207487722114994
Chennu,alpha,35,27,moderate,1,gcc_pi,0.8606724539161411
Chennu,alpha,36,28,baseline,0,gcc_pi,0.38571801883241624
Chennu,alpha,37,28,moderate,1,gcc_pi,0.2654273341863807
Chennu,alpha,38,29,baseline,0,gcc_pi,0.4008916202461999
Chennu,alpha,39,29,moderate,1,gcc_pi,0.516300838498813
Chennu,alpha,0,2,baseline,0,gcc_triad_plus_pi,0.28545413401581127
Chennu,alpha,1,2,moderate,1,gcc_triad_plus_pi,0.14797223847318186
Chennu,alpha,2,3,baseline,0,gcc_triad_plus_pi,0.3224675556407662
Chennu,alpha,3,3,moderate,1,gcc_triad_plus_pi,0.9696355867649145
Chennu,alpha,4,5,baseline,0,gcc_triad_plus_pi,0.32231809008705603
Chennu,alpha,5,5,moderate,1,gcc_triad_plus_pi,0.9861240961446743
Chennu,alpha,6,6,baseline,0,gcc_triad_plus_pi,0.31650931548806066
Chennu,alpha,7,6,moderate,1,gcc_triad_plus_pi,0.6645883876484165
Chennu,alpha,8,7,baseline,0,gcc_triad_plus_pi,0.25883640700145727
Chennu,alpha,9,7,moderate,1,gcc_triad_plus_pi,0.013749659883851425
Chennu,alpha,10,8,baseline,0,gcc_triad_plus_pi,0.32197757272951394
Chennu,alpha,11,8,moderate,1,gcc_triad_plus_pi,0.9425897658921293
Chennu,alpha,12,9,baseline,0,gcc_triad_plus_pi,0.3162768811101877
Chennu,alpha,13,9,moderate,1,gcc_triad_plus_pi,0.9997195751022971
Chennu,alpha,14,10,baseline,0,gcc_triad_plus_pi,0.29868320439148816
Chennu,alpha,15,10,moderate,1,gcc_triad_plus_pi,0.23104877606068924
Chennu,alpha,16,13,baseline,0,gcc_triad_plus_pi,0.31598390443229785
Chennu,alpha,17,13,moderate,1,gcc_triad_plus_pi,0.6612169525442545
Chennu,alpha,18,14,baseline,0,gcc_triad_plus_pi,0.31031892728354604
Chennu,alpha,19,14,moderate,1,gcc_triad_plus_pi,0.4751477091315209
Chennu,alpha,20,18,baseline,0,gcc_triad_plus_pi,0.3209851117233215
Chennu,alpha,21,18,moderate,1,gcc_triad_plus_pi,0.9975631525107859
Chennu,alpha,22,20,baseline,0,gcc_triad_plus_pi,0.313755690431535
Chennu,alpha,23,20,moderate,1,gcc_triad_plus_pi,0.5878994031772616
Chennu,alpha,24,22,baseline,0,gcc_triad_plus_pi,0.28053594792258013
Chennu,alpha,25,22,moderate,1,gcc_triad_plus_pi,0.10467922876400679
Chennu,alpha,26,23,baseline,0,gcc_triad_plus_pi,0.3220992356301224
Chennu,alpha,27,23,moderate,1,gcc_triad_plus_pi,0.9897161438562684
Chennu,alpha,28,24,baseline,0,gcc_triad_plus_pi,0.3214924714606138
Chennu,alpha,29,24,moderate,1,gcc_triad_plus_pi,0.9950410748668966
Chennu,alpha,30,25,baseline,0,gcc_triad_plus_pi,0.3144702881618645
Chennu,alpha,31,25,moderate,1,gcc_triad_plus_pi,0.5949365363829435
Chennu,alpha,32,26,baseline,0,gcc_triad_plus_pi,0.32177900365568796
Chennu,alpha,33,26,moderate,1,gcc_triad_plus_pi,0.8641129937728002
Chennu,alpha,34,27,baseline,0,gcc_triad_plus_pi,0.3223736002821066
Chennu,alpha,35,27,moderate,1,gcc_triad_plus_pi,0.983793856170661
Chennu,alpha,36,28,baseline,0,gcc_triad_plus_pi,0.29786154438238566
Chennu,alpha,37,28,moderate,1,gcc_triad_plus_pi,0.27532115911235727
Chennu,alpha,38,29,baseline,0,gcc_triad_plus_pi,0.3022622091227817
Chennu,alpha,39,29,moderate,1,gcc_triad_plus_pi,0.34205252947361703
Chennu,alpha,0,2,baseline,0,spectral_all_plus_gcc,0.1280882812122315
Chennu,alpha,1,2,moderate,1,spectral_all_plus_gcc,0.8535832449526194
Chennu,alpha,2,3,baseline,0,spectral_all_plus_gcc,0.12779933576516705
Chennu,alpha,3,3,moderate,1,spectral_all_plus_gcc,0.9481798990017515
Chennu,alpha,4,5,baseline,0,spectral_all_plus_gcc,0.12939286038844183
Chennu,alpha,5,5,moderate,1,spectral_all_plus_gcc,0.9992424856207005
Chennu,alpha,6,6,baseline,0,spectral_all_plus_gcc,0.12889480489604518
Chennu,alpha,7,6,moderate,1,spectral_all_plus_gcc,0.8194743544670531
Chennu,alpha,8,7,baseline,0,spectral_all_plus_gcc,0.12694486760359958
Chennu,alpha,9,7,moderate,1,spectral_all_plus_gcc,0.8720736342629704
Chennu,alpha,10,8,baseline,0,spectral_all_plus_gcc,0.1274473288112181
Chennu,alpha,11,8,moderate,1,spectral_all_plus_gcc,0.9789573355007184
Chennu,alpha,12,9,baseline,0,spectral_all_plus_gcc,0.11598730790822427
Chennu,alpha,13,9,moderate,1,spectral_all_plus_gcc,0.9999976641512894
Chennu,alpha,14,10,baseline,0,spectral_all_plus_gcc,0.1286838404440237
Chennu,alpha,15,10,moderate,1,spectral_all_plus_gcc,0.7947345578754105
Chennu,alpha,16,13,baseline,0,spectral_all_plus_gcc,0.12741856079851607
Chennu,alpha,17,13,moderate,1,spectral_all_plus_gcc,0.7504963441979711
Chennu,alpha,18,14,baseline,0,spectral_all_plus_gcc,0.12238599014473116
Chennu,alpha,19,14,moderate,1,spectral_all_plus_gcc,0.5273960405846375
Chennu,alpha,20,18,baseline,0,spectral_all_plus_gcc,0.1267785015926257
Chennu,alpha,21,18,moderate,1,spectral_all_plus_gcc,0.9999598326467201
Chennu,alpha,22,20,baseline,0,spectral_all_plus_gcc,0.1212974403872523
Chennu,alpha,23,20,moderate,1,spectral_all_plus_gcc,0.9999919528291379
Chennu,alpha,24,22,baseline,0,spectral_all_plus_gcc,0.1083789969320469
Chennu,alpha,25,22,moderate,1,spectral_all_plus_gcc,0.20544915252499993
Chennu,alpha,26,23,baseline,0,spectral_all_plus_gcc,0.12565557619415849
Chennu,alpha,27,23,moderate,1,spectral_all_plus_gcc,0.9998991427730373
Chennu,alpha,28,24,baseline,0,spectral_all_plus_gcc,0.12903271911190786
Chennu,alpha,29,24,moderate,1,spectral_all_plus_gcc,0.9947741990480357
Chennu,alpha,30,25,baseline,0,spectral_all_plus_gcc,0.12797060508069893
Chennu,alpha,31,25,moderate,1,spectral_all_plus_gcc,0.9310954341494545
Chennu,alpha,32,26,baseline,0,spectral_all_plus_gcc,0.13022251345999847
Chennu,alpha,33,26,moderate,1,spectral_all_plus_gcc,0.9609725262647714
Chennu,alpha,34,27,baseline,0,spectral_all_plus_gcc,0.12584713160503133
Chennu,alpha,35,27,moderate,1,spectral_all_plus_gcc,0.4560449480596502
Chennu,alpha,36,28,baseline,0,spectral_all_plus_gcc,0.11966668944354013
Chennu,alpha,37,28,moderate,1,spectral_all_plus_gcc,0.4521964614969122
Chennu,alpha,38,29,baseline,0,spectral_all_plus_gcc,0.12774789289159805
