dataset,band,subject,condition,R_mean,D_mean,M_mean,Pi,Access_all,n_channels,duration_s,n_windows
DS005620,alpha,1036,sed,0.24449116455378467,12.91871795488045,0.012295208532713256,0.6573275862068966,0.24892241379310345,62.0,58.488,37.0
DS005620,alpha,1036,sed2,0.2295041692910761,14.248177216383553,0.011936054914266872,0.7368421052631579,0.4473684210526316,62.0,60.0,38.0
DS005620,alpha,1037,awake,0.2643618054254965,14.89755644258097,0.016537691420404295,0.8275862068965517,0.5862068965517241,62.0,90.0,58.0
DS005620,alpha,1045,awake,0.2646097677840185,6.962715543804731,0.011420066320749102,0.8275862068965517,0.6379310344827587,62.0,90.0,58.0
DS005620,alpha,1045,sed,0.18854136244777867,13.638155671315658,0.008919638997719546,0.3122605363984674,0.0,62.0,90.0,58.0
DS005620,alpha,1045,sed2,0.18119511207640057,12.203846637772221,0.008426668767287093,0.27777777777777773,0.0,62.0,60.0,38.0
DS005620,alpha,1046,awake,0.23242286093117723,9.091616640472271,0.009456243882523703,0.8275862068965516,0.6206896551724138,62.0,90.0,58.0
DS005620,alpha,1046,sed,0.2061358865890415,12.184520021523314,0.010745700908135127,0.7672413793103448,0.3362068965517241,62.0,90.0,58.0
DS005620,alpha,1046,sed2,0.19565587506237703,11.464199568041675,0.009907200063823514,0.8157894736842106,0.5,62.0,60.0,38.0
DS005620,alpha,1054,awake,0.15198048195231373,13.290696957924434,0.00600352873245763,0.8275862068965517,0.5689655172413793,62.0,90.0,58.0
DS005620,alpha,1054,sed,0.19531705715642947,12.11950625626515,0.009152650345986665,0.7097701149425286,0.3103448275862069,62.0,90.0,58.0
DS005620,alpha,1054,sed2,0.19610702528048163,11.902495933202914,0.009897261064610044,0.6885964912280702,0.23684210526315788,62.0,60.0,38.0
DS005620,alpha,1055,awake,0.1600986118635765,9.610532493998125,0.006847909856354995,0.8275862068965516,0.5689655172413793,62.0,90.0,58.0
